a b c d e
1 1 0.0 0.0 0.0
2 1 1.42406 1.42406 1.424058
3 1 2.84812 0.0 0.0
4 1 4.27218 1.42406 1.424058
5 1 5.69624 0.0 0.0
6 1 7.1203 1.42406 1.424058
7 1 8.54436 0.0 0.0
8 1 9.96842 1.42406 1.424058
9 1 11.39248 0.0 0.0
10 1 12.81654 1.42406 1.424058
11 1 14.2406 0.0 0.0
12 1 15.66466 1.42406 1.424058
13 1 17.08872 0.0 0.0
14 1 18.51278 1.42406 1.424058
15 1 19.93684 0.0 0.0
16 1 21.3609 1.42406 1.424058
17 1 22.78496 0.0 0.0
18 1 24.20902 1.42406 1.424058
19 1 25.63308 0.0 0.0
20 1 27.05714 1.42406 1.424058
21 1 0.0 2.84812 0.0
22 1 1.42406 4.27218 1.424058
23 1 2.84812 2.84812 0.0
24 1 4.27218 4.27218 1.424058
25 1 5.69624 2.84812 0.0
26 1 7.1203 4.27218 1.424058
27 1 8.54436 2.84812 0.0
28 1 9.96842 4.27218 1.424058
29 1 11.39248 2.84812 0.0
30 1 12.81654 4.27218 1.424058
31 1 14.2406 2.84812 0.0
32 1 15.66466 4.27218 1.424058
33 1 17.08872 2.84812 0.0
34 1 18.51278 4.27218 1.424058
35 1 19.93684 2.84812 0.0
36 1 21.3609 4.27218 1.424058
37 1 22.78496 2.84812 0.0
38 1 24.20902 4.27218 1.424058
39 1 25.63308 2.84812 0.0
40 1 27.05714 4.27218 1.424058
41 1 0.0 5.69624 0.0
42 1 1.42406 7.1203 1.424058
43 1 2.84812 5.69624 0.0
44 1 4.27218 7.1203 1.424058
45 1 5.69624 5.69624 0.0
46 1 7.1203 7.1203 1.424058
47 1 8.54436 5.69624 0.0
48 1 9.96842 7.1203 1.424058
49 1 11.39248 5.69624 0.0
50 1 12.81654 7.1203 1.424058
51 1 14.2406 5.69624 0.0
52 1 15.66466 7.1203 1.424058
53 1 17.08872 5.69624 0.0
54 1 18.51278 7.1203 1.424058
55 1 19.93684 5.69624 0.0
56 1 21.3609 7.1203 1.424058
57 1 22.78496 5.69624 0.0
58 1 24.20902 7.1203 1.424058
59 1 25.63308 5.69624 0.0
60 1 27.05714 7.1203 1.424058
61 1 0.0 8.54436 0.0
62 1 1.42406 9.96842 1.424058
63 1 2.84812 8.54436 0.0
64 1 4.27218 9.96842 1.424058
65 1 5.69624 8.54436 0.0
66 1 7.1203 9.96842 1.424058
67 1 8.54436 8.54436 0.0
68 1 9.96842 9.96842 1.424058
69 1 11.39248 8.54436 0.0
70 1 12.81654 9.96842 1.424058
71 1 14.2406 8.54436 0.0
72 1 15.66466 9.96842 1.424058
73 1 17.08872 8.54436 0.0
74 1 18.51278 9.96842 1.424058
75 1 19.93684 8.54436 0.0
76 1 21.3609 9.96842 1.424058
77 1 22.78496 8.54436 0.0
78 1 24.20902 9.96842 1.424058
79 1 25.63308 8.54436 0.0
80 1 27.05714 9.96842 1.424058
81 1 0.0 11.39248 0.0
82 1 1.42406 12.81654 1.424058
83 1 2.84812 11.39248 0.0
84 1 4.27218 12.81654 1.424058
85 1 5.69624 11.39248 0.0
86 1 7.1203 12.81654 1.424058
87 1 8.54436 11.39248 0.0
88 1 9.96842 12.81654 1.424058
89 1 11.39248 11.39248 0.0
90 1 12.81654 12.81654 1.424058
91 1 14.2406 11.39248 0.0
92 1 15.66466 12.81654 1.424058
93 1 17.08872 11.39248 0.0
94 1 18.51278 12.81654 1.424058
