Step MaxReplicaForce MaxAtomForce GradV0 GradV1 GradVc EBF EBR RDT RD1 PE1 RD2 PE2 RDN PEN RDN PEN RDN PEN RDN PEN
0 87.083524 59.759324 1.5677241e-06 0.011591056 29.438742 30.722295 29.928217 3.9832341 0 -4117.9513 0.2 -4114.5595 0.4 -4092.1172 0.6 -4087.229 0.8 -4112.1812 1 -4117.1572
10 2.4998784 0.82317229 3.6750891e-07 0.058843582 1.9372074 4.4567824 4.4016742 3.9769494 0 -4117.9513 0.20031606 -4116.3037 0.40063211 -4113.4945 0.60094766 -4113.5265 0.8012275 -4116.3326 1 -4117.8962
20 0.52936023 0.22431497 2.5967572e-07 0.0039540216 1.6017219 4.2566887 4.2562471 3.9647017 0 -4117.9513 0.20093205 -4116.4366 0.40183544 -4113.6946 0.60252743 -4113.726 0.80228416 -4116.4861 1 -4117.9508
30 0.1716529 0.017096496 1.6772463e-07 0.00063959519 1.652955 4.2446898 4.2446385 3.9638318 0 -4117.9513 0.20094277 -4116.4589 0.40176655 -4113.7066 0.60217584 -4113.7329 0.80165566 -4116.4965 1 -4117.9512
40 0.136126 0.0088220199 1.0018078e-07 0.00016497132 1.6644232 4.2389927 4.2389866 3.9636155 0 -4117.9513 0.20086146 -4116.4738 0.4015226 -4113.7123 0.60172994 -4113.7342 0.80118606 -4116.5025 1 -4117.9513
50 0.12170972 0.0065693551 6.6958021e-08 5.2493393e-05 1.6779961 4.2349991 4.2349981 3.9635578 0 -4117.9513 0.20075044 -4116.4843 0.40128547 -4113.7163 0.60138102 -4113.7344 0.80090642 -4116.5071 1 -4117.9513
60 0.11704096 0.069206097 4.9707227e-08 1.7603982e-05 1.6916446 4.231907 4.2319068 3.9635434 0 -4117.9513 0.20064485 -4116.4927 0.40108164 -4113.7194 0.60112996 -4113.7344 0.80072428 -4116.5114 1 -4117.9513
70 0.11246864 0.038199059 3.9866251e-08 5.5142575e-06 1.7016609 4.2294195 4.2294195 3.9635366 0 -4117.9513 0.20055842 -4116.4995 0.4009255 -4113.7218 0.60095251 -4113.7347 0.80060266 -4116.5152 1 -4117.9513
80 0.11061546 0.060454505 3.1721955e-08 4.0935996e-08 1.712994 4.2268881 4.2268881 3.9635364 0 -4117.9513 0.20046959 -4116.5068 0.40077262 -4113.7244 0.60078715 -4113.7351 0.80049315 -4116.5197 1 -4117.9513
90 0.10935394 0.013637756 2.54799e-08 1.8021634e-06 1.7233508 4.2244954 4.2244954 3.9635352 0 -4117.9513 0.20039266 -4116.5138 0.40064211 -4113.7268 0.60064942 -4113.7358 0.80040498 -4116.5243 1 -4117.9513
100 0.10868903 0.01129079 2.0879396e-08 2.0941445e-06 1.7321066 4.2224606 4.2224606 3.963536 0 -4117.9513 0.2003321 -4116.5199 0.40054168 -4113.7288 0.60054583 -4113.7365 0.80033949 -4116.5287 1 -4117.9513
110 0.17058072 0.1122889 1.5991768e-08 1.8390003e-06 1.7431113 4.2199533 4.2199533 3.9635435 0 -4117.9513 0.20026564 -4116.5277 0.4004318 -4113.7313 0.60043424 -4113.7373 0.80026971 -4116.5346 1 -4117.9513
120 0.1077865 0.043122507 1.3377701e-08 1.5608968e-06 1.7493892 4.2183787 4.2183787 3.9635387 0 -4117.9513 0.20023 -4116.5327 0.40037506 -4113.7329 0.60037947 -4113.7383 0.80023406 -4116.5386 1 -4117.9513
130 0.10746682 0.017269097 1.0936982e-08 1.2597142e-06 1.7564837 4.2166947 4.2166947 3.9635386 0 -4117.9513 0.20019614 -4116.5381 0.40031959 -4113.7346 0.60032494 -4113.7392 0.80019993 -4116.5431 1 -4117.9513
140 0.23552761 0.16281574 8.5535809e-09 9.5112485e-07 1.7657002 4.214855 4.214855 3.9635632 0 -4117.9513 0.20016086 -4116.5444 0.40026087 -4113.7364 0.60027127 -4113.74 0.80016704 -4116.5484 1 -4117.9513
