type charge x y z
1025 3 -0.495793 5.61356 5.60579 22.6631 

1025 3 -0.495557 2.7447 0.00465541 22.7152 

1025 3 -0.499291 5.69825 2.85715 22.6529 

1025 3 -0.494188 5.73417 19.7987 22.6779 

1025 3 -0.496336 5.60399 5.6551 22.6666 

1025 3 -0.492753 0.044522 2.88842 22.7169 

1025 3 -0.492796 2.84258 2.86244 22.723 

1025 3 -0.495343 2.89036 -0.0450224 22.724 

1025 3 -0.496046 2.81726 5.65729 22.718 

1025 3 -0.493904 19.6984 5.72261 22.6421 

1025 3 -0.496441 0.0619411 2.79929 22.6633 

1025 3 -0.496062 5.61629 19.8919 22.6472 

1025 3 -0.496994 5.61705 5.63559 22.6556 

1025 3 -0.495723 5.65932 5.70222 22.6773 

1025 3 -0.493265 5.65682 2.82312 22.7103 

1025 3 -0.494581 2.81269 0.0148793 22.7266 

1025 3 -0.49344 2.82934 8.54176 22.6452 

1025 3 -0.496821 2.8697 5.72009 22.6317 

1025 3 -0.497694 5.62765 2.8235 22.6204 

1025 3 -0.492164 2.81355 2.89341 22.7063 

1025 3 -0.493488 -0.0559598 -0.0249746 22.6333 

1025 3 -0.497009 0.0863913 5.64276 22.6856 

1025 3 -0.493004 8.47397 2.8095 22.6499 

1025 3 -0.493897 5.64441 2.79705 22.6562 

1025 3 -0.4973 5.70441 0.0369304 22.6312 

1025 3 -0.49353 5.60987 2.78276 22.6406 

1025 3 -0.492844 11.2881 5.61541 22.6578 

1025 3 -0.494057 2.83923 2.84081 22.6637 

1025 3 -0.496463 2.88341 22.6041 22.694 

1025 3 -0.49411 2.8705 5.71832 22.7143 

1025 3 -0.495993 2.84476 5.70811 22.6552 

1025 3 -0.494562 22.6599 2.87816 22.7036 

1025 3 -0.495685 22.5663 0.0191914 22.6555 

1025 3 -0.494549 8.4946 5.68264 22.6821 

1025 3 -0.497431 5.67538 8.5319 22.6912 

1025 3 -0.494874 5.66682 2.75806 22.7065 

1025 3 -0.494157 5.64586 2.89578 22.6835 

1025 3 -0.494623 5.72666 8.48785 22.6778 

1025 3 -0.498513 2.79941 5.6523 22.6576 

1025 3 -0.497468 2.79427 2.86818 22.6945 

1025 3 -0.496904 2.84776 2.92369 22.7382 

1025 3 -0.495032 2.83311 22.5957 22.6809 

1025 3 -0.493501 22.6135 5.61846 22.7094 

1025 3 -0.497013 0.0159012 2.92491 22.6894 

1025 3 -0.497942 8.52955 2.881 22.6677 

1025 3 -0.49646 5.585 22.699 22.6668 

1025 3 -0.496868 5.69996 5.67195 22.6914 

1025 3 -0.496152 5.66105 5.70708 22.677 

1025 3 -0.494557 5.66316 2.81063 22.6753 

1025 3 -0.495708 2.8527 0.020666 22.7123 

1025 3 -0.495241 22.6039 5.62579 22.6973 

1025 3 -0.497903 2.85504 5.65749 22.6759 

1025 3 -0.494294 2.91307 2.96743 22.7188 

1025 3 -0.495043 22.5759 0.0481128 22.6796 

1025 3 -0.492773 -0.0291432 5.62469 22.7453 

1025 3 -0.492825 11.2871 8.51331 22.7327 

1025 3 -0.493574 5.63374 2.95093 22.671 

1025 3 -0.493172 5.59116 2.89095 22.7028 

1025 3 -0.495943 5.6995 8.47785 22.6748 

1025 3 -0.496052 5.67408 5.70656 22.6925 

1025 3 -0.495944 2.86654 2.82555 22.6699 

1025 3 -0.495553 22.6291 2.81855 22.6403 

1025 3 -0.495381 2.86777 -0.060808 22.7704 

1025 3 -0.498506 2.83655 5.61369 22.6435 

1025 3 -0.493771 2.85261 2.83928 22.7086 

1025 3 -0.492054 -0.0180485 2.82219 22.7078 

1025 3 -0.494765 8.49715 -0.0818303 22.6734 

1025 3 -0.48887 5.69421 5.63744 22.7467 

1025 3 -0.495752 2.8669 5.67558 22.6491 

1025 3 -0.495745 5.6153 2.81298 22.6346 

1025 3 -0.489992 5.61385 -0.0315232 22.6968 

1025 3 -0.498964 5.71146 5.7274 22.6465 

1025 3 -0.496875 2.86029 5.70112 22.684 

1025 3 -0.493873 2.91043 2.8924 22.6586 

1025 3 -0.494231 2.82893 22.6279 22.7381 

1025 3 -0.494608 2.85299 2.84503 22.6995 

1025 3 -0.495286 0.135402 8.52615 22.6598 

1025 3 -0.494176 22.6594 2.82425 22.7058 

1025 3 -0.49706 5.6472 2.82578 22.6809 

