type charge x y z
1025 3 -2 6.87116 5.75298 27.4088 

1025 3 -2 6.19427 3.95799 27.4087 

1025 3 -2 5.51739 2.16306 27.4087 

1025 3 -2 4.84051 0.368143 27.4086 

1025 3 -2 4.16342 6.12134 27.4088 

1025 3 -2 3.48655 4.32638 27.4089 

1025 3 -2 2.80967 2.5314 27.4088 

1025 3 -2 2.13282 0.736454 27.4087 

1025 3 -2 1.4558 6.48965 27.4088 

1025 3 -2 0.778899 4.69471 27.4086 

1025 3 -2 0.102029 2.89979 27.4086 

1025 3 -2 6.9733 1.10467 27.4087 

1025 3 -2 6.29633 6.85791 27.409 

1025 3 -2 5.61944 5.06289 27.4089 

1025 3 -2 4.94259 3.26792 27.4088 

1025 3 -2 4.26569 1.47299 27.4086 

1025 3 -2 3.5886 7.22623 27.4088 

1025 3 -2 2.91173 5.43129 27.4088 

1025 3 -2 2.23484 3.6363 27.4087 

1025 3 -2 1.55798 1.84136 27.4088 

1025 3 -2 0.881164 0.0464137 27.4086 

1025 3 -2 0.204131 5.79958 27.4086 

1025 3 -2 7.07539 4.00447 27.4087 

1025 3 -2 6.39852 2.20954 27.4087 

1025 3 -2 5.72167 0.414605 27.4085 

1025 3 -2 5.04459 6.16781 27.4089 

1025 3 -2 4.36773 4.37283 27.409 

1025 3 -2 3.69087 2.57786 27.4087 

1025 3 -2 3.01398 0.782907 27.4086 

1025 3 -2 2.33692 6.53615 27.4088 

1025 3 -2 1.66003 4.74119 27.4087 

1025 3 -2 0.983146 2.94625 27.4087 

1025 3 -2 0.306326 1.15132 27.4087 

1025 3 -2 7.17753 6.9044 27.4089 

1025 3 -2 6.5006 5.10936 27.4088 

1025 3 -2 5.82372 3.31441 27.4088 

1025 3 -2 5.14685 1.51946 27.4086 

1025 3 -2 4.46978 7.27272 27.4088 

1025 3 -2 3.79288 5.47776 27.4089 

1025 3 -2 3.11601 3.68278 27.4089 

1025 3 -2 2.43915 1.88779 27.4088 

1025 3 -2 1.7623 0.0928598 27.4086 

1025 3 -2 1.08524 5.84607 27.4087 

1025 3 -2 0.408364 4.0511 27.4086 

1025 3 -2 7.27965 2.25602 27.4087 

1025 3 -2 6.60277 0.461078 27.4085 

1025 3 -2 5.92577 6.21427 27.4089 

1025 3 -2 5.24891 4.41929 27.4089 

1025 3 -2 4.57204 2.62432 27.4087 

1025 3 -2 3.89516 0.8294 27.4085 

1025 3 -2 3.21806 6.58263 27.4088 

1025 3 -2 2.54117 4.78769 27.4088 

1025 3 -2 1.8643 2.99272 27.4088 

1025 3 -2 1.18745 1.19776 27.4088 

1025 3 -2 0.510472 6.95092 27.4087 

1025 3 -2 7.38175 5.15585 27.4088 

1025 3 -2 6.70486 3.36088 27.4087 

1025 3 -2 6.02797 1.56593 27.4087 

1025 3 -2 5.35096 7.31919 27.4089 

1025 3 -2 4.67406 5.52422 27.4089 

1025 3 -2 3.9972 3.72922 27.4089 

1025 3 -2 3.32033 1.93426 27.4087 

1025 3 -2 2.64343 0.139325 27.4086 

1025 3 -2 1.96639 5.89255 27.4088 

1025 3 -2 1.28948 4.0976 27.4086 

1025 3 -2 0.612625 2.30266 27.4088 

1025 3 -2 7.48386 0.50756 27.4085 

1025 3 -2 6.80696 6.26076 27.4089 

1025 3 -2 6.13006 4.46576 27.4088 

1025 3 -2 5.45318 2.67079 27.4087 

1025 3 -2 4.7763 0.87588 27.4085 

1025 3 -2 4.09922 6.62911 27.4088 

1025 3 -2 3.42234 4.83415 27.409 

1025 3 -2 2.74547 3.03918 27.4088 

1025 3 -2 2.06862 1.2442 27.4088 

1025 3 -2 1.39159 6.99741 27.4088 

1025 3 -2 0.714704 5.20246 27.4086 

1025 3 -2 0.0378334 3.40752 27.4087 

1025 3 -2 6.90911 1.61241 27.4087 

1025 3 -2 6.23215 7.36569 27.4089 

1025 3 -2 5.55523 5.57067 27.4089 

1025 3 -2 4.87838 3.77568 27.4089 

1025 3 -2 4.20149 1.98074 27.4086 

1025 3 -2 3.52458 0.185817 27.4086 

1025 3 -2 2.84752 5.93904 27.4088 

1025 3 -2 2.17064 4.14407 27.4087 

1025 3 -2 1.49376 2.34912 27.4088 

1025 3 -2 0.816955 0.554179 27.4087 

1025 3 -2 0.139957 6.30733 27.4086 

1025 3 -2 7.01121 4.51223 27.4087 

1025 3 -2 6.33431 2.71728 27.4087 

1025 3 -2 5.65745 0.922342 27.4086 

1025 3 -2 4.98041 6.67558 27.4088 

1025 3 -2 4.30352 4.8806 27.409 

1025 3 -2 3.62665 3.08563 27.4088 

1025 3 -2 2.94977 1.29067 27.4087 

1025 3 -2 2.27273 7.0439 27.4088 

1025 3 -2 1.59583 5.24895 27.4087 

1025 3 -2 0.918945 3.45399 27.4087 

1025 3 -2 0.242115 1.65908 27.4087 

1025 3 -2 7.11333 7.41219 27.4089 

1025 3 -2 6.4364 5.61714 27.4089 

1025 3 -2 5.75952 3.82215 27.4088 

1025 3 -2 5.08265 2.0272 27.4086 

1025 3 -2 4.40576 0.232295 27.4086 

1025 3 -2 3.72868 5.9855 27.4089 

1025 3 -2 3.0518 4.19054 27.4089 

1025 3 -2 2.37493 2.39557 27.4088 

1025 3 -2 1.69809 0.600622 27.4088 

1025 3 -2 1.02105 6.35382 27.4088 

1025 3 -2 0.344164 4.55887 27.4086 

1025 3 -2 7.21545 2.76376 27.4087 

1025 3 -2 6.53857 0.968811 27.4086 

1025 3 -2 5.86158 6.72206 27.4089 

1025 3 -2 5.1847 4.92706 27.4089 

1025 3 -2 4.50783 3.13208 27.4088 

1025 3 -2 3.83096 1.33714 27.4086 

1025 3 -2 3.15387 7.09038 27.4088 

1025 3 -2 2.47698 5.29544 27.4088 

1025 3 -2 1.80007 3.50047 27.4087 

1025 3 -2 1.12324 1.70552 27.4088 

1025 3 -2 0.446316 7.45866 27.4087 

1025 3 -2 7.31757 5.66362 27.4088 

1025 3 -2 6.64067 3.86864 27.4087 

1025 3 -2 5.96379 2.07368 27.4087 

1025 3 -2 5.28692 0.278764 27.4085 

1025 3 -2 4.60986 6.03197 27.4089 

1025 3 -2 3.93297 4.23699 27.409 

1025 3 -2 3.25612 2.44203 27.4087 

1025 3 -2 2.57923 0.647076 27.4087 

1025 3 -2 1.90219 6.40029 27.4088 

1025 3 -2 1.22529 4.60535 27.4086 

1025 3 -2 0.548416 2.8104 27.4087 

1025 3 -2 7.41968 1.01529 27.4086 

1025 3 -2 6.74276 6.76853 27.409 

1025 3 -2 6.06587 4.97352 27.4088 

1025 3 -2 5.389 3.17854 27.4088 

1025 3 -2 4.71211 1.38362 27.4086 

1025 3 -2 4.03503 7.13685 27.4087 

1025 3 -2 3.35814 5.34191 27.4089 

1025 3 -2 2.68126 3.54694 27.4088 

1025 3 -2 2.0044 1.75196 27.4088 

1025 3 -2 1.3274 7.50517 27.4088 

1025 3 -2 0.650528 5.71023 27.4086 

1025 3 -2 7.5218 3.91511 27.4087 

1025 3 -2 6.84492 2.12016 27.4087 

1025 3 -2 6.16805 0.325231 27.4085 

1025 3 -2 5.49103 6.07843 27.4089 

1025 3 -2 4.81417 4.28345 27.409 

1025 3 -2 4.1373 2.48849 27.4087 

1025 3 -2 3.46041 0.693543 27.4086 

1025 3 -2 2.78331 6.4468 27.4088 

1025 3 -2 2.10643 4.65184 27.4087 

1025 3 -2 1.42956 2.85685 27.4087 

1025 3 -2 0.752732 1.06193 27.4087 

1025 3 -2 0.0757736 6.81507 27.4086 

1025 3 -2 6.94702 5.01999 27.4087 

1025 3 -2 6.27014 3.22502 27.4087 

1025 3 -2 5.59325 1.43008 27.4086 

1025 3 -2 4.91621 7.18335 27.4088 

1025 3 -2 4.23931 5.38838 27.409 

1025 3 -2 3.56244 3.59339 27.4089 

1025 3 -2 2.88557 1.79841 27.4087 

1025 3 -2 2.2087 0.00347548 27.4086 

1025 3 -2 1.53164 5.75672 27.4087 

1025 3 -2 0.854756 3.96174 27.4086 

1025 3 -2 0.17789 2.16684 27.4087 

1025 3 -2 7.04915 0.371716 27.4085 

1025 3 -2 6.37221 6.12491 27.4089 

1025 3 -2 5.69534 4.3299 27.4088 

1025 3 -2 5.01846 2.53495 27.4087 

1025 3 -2 4.34158 0.740027 27.4086 

1025 3 -2 3.66448 6.49327 27.4088 

1025 3 -2 2.9876 4.69831 27.4089 

1025 3 -2 2.31072 2.90332 27.4088 

1025 3 -2 1.63387 1.10836 27.4088 

1025 3 -2 0.956865 6.86156 27.4088 

1025 3 -2 0.279974 5.06663 27.4086 

1025 3 -2 7.15127 3.27151 27.4087 

1025 3 -2 6.47438 1.47656 27.4087 

1025 3 -2 5.79738 7.22984 27.4089 

1025 3 -2 5.12049 5.43483 27.4089 

1025 3 -2 4.44363 3.63983 27.4089 

1025 3 -2 3.76675 1.84488 27.4086 

1025 3 -2 3.08984 0.0499541 27.4086 

1025 3 -2 2.41279 5.80319 27.4088 

1025 3 -2 1.73588 4.00822 27.4087 

1025 3 -2 1.05902 2.2133 27.4088 

1025 3 -2 0.382225 0.418348 27.4086 

1025 3 -2 7.25338 6.1714 27.4089 

1025 3 -2 6.57647 4.37638 27.4087 

1025 3 -2 5.89959 2.58144 27.4087 

1025 3 -2 5.22271 0.786494 27.4085 

1025 3 -2 4.54563 6.53974 27.4088 

1025 3 -2 3.86876 4.74478 27.409 

1025 3 -2 3.1919 2.94977 27.4088 

1025 3 -2 2.51503 1.15483 27.4088 

1025 3 -2 1.83799 6.90805 27.4088 

1025 3 -2 1.1611 5.11309 27.4086 

1025 3 -2 0.484219 3.31815 27.4086 

1025 3 -2 7.3555 1.52304 27.4087 

1025 3 -2 6.67857 7.27633 27.409 

1025 3 -2 6.00164 5.48129 27.4089 

1025 3 -2 5.32479 3.6863 27.4088 

1025 3 -2 4.6479 1.89134 27.4086 

1025 3 -2 3.971 0.0964514 27.4086 

1025 3 -2 3.29393 5.84966 27.4089 

1025 3 -2 2.61706 4.0547 27.4088 

1025 3 -2 1.94018 2.25974 27.4088 

1025 3 -2 1.26335 0.46478 27.4087 

1025 3 -2 0.586333 6.21796 27.4087 

1025 3 -2 7.45762 4.42285 27.4087 

1025 3 -2 6.78072 2.62792 27.4087 

1025 3 -2 6.10384 0.832978 27.4086 

1025 3 -2 5.42682 6.58621 27.4089 

1025 3 -2 4.74995 4.79123 27.4089 

1025 3 -2 4.07308 2.99624 27.4088 

1025 3 -2 3.3962 1.2013 27.4086 

1025 3 -2 2.71912 6.95453 27.4088 

1025 3 -2 2.04224 5.15959 27.4087 

1025 3 -2 1.36535 3.36462 27.4087 

1025 3 -2 0.688503 1.56969 27.4087 

1025 3 -2 0.0115916 7.3228 27.4086 

1025 3 -2 6.88281 5.52776 27.4088 

1025 3 -2 6.20593 3.73278 27.4087 

1025 3 -2 5.52904 1.93783 27.4087 

1025 3 -2 4.85218 0.142927 27.4086 

1025 3 -2 4.1751 5.89613 27.4089 

1025 3 -2 3.49822 4.10116 27.4089 

1025 3 -2 2.82136 2.30619 27.4088 

1025 3 -2 2.1445 0.511237 27.4087 

1025 3 -2 1.46745 6.26444 27.4088 

1025 3 -2 0.790558 4.46951 27.4086 

1025 3 -2 0.113707 2.67457 27.4087 

1025 3 -2 6.98495 0.879448 27.4086 

1025 3 -2 6.30799 6.63268 27.4089 

1025 3 -2 5.63112 4.83767 27.4089 

